Model,GT,TP,FP,FN,Prec,Rec,F1,AvgIoU
YOLOv8m-AdamW,253,215,147,38,0.5939,0.8498,0.6992,0.7606
YOLOv8s-AdamW,253,210,135,43,0.6087,0.8300,0.7023,0.7516
